date,audienceName,activeUsers,conversions
20250308,All Users,5,0
20250310,All Users,5,0
20250216,All Users,4,0
20250220,All Users,4,0
20250222,All Users,4,0
20250303,All Users,4,0
20250305,All Users,4,0
20250221,All Users,3,0
20250227,All Users,3,0
20250301,All Users,3,0
20250311,All Users,3,0
20250315,All Users,3,0
20250217,All Users,2,0
20250218,All Users,2,0
20250225,All Users,2,0
20250304,All Users,2,0
20250312,All Users,2,0
20250318,All Users,2,0
20250215,All Users,1,0
20250219,All Users,1,0
20250224,All Users,1,0
20250226,All Users,1,0
20250228,All Users,1,0
20250306,All Users,1,0
20250313,All Users,1,0
20250317,All Users,1,0
20250319,All Users,1,0
