date,deviceCategory,operatingSystem,browser,sessions,activeUsers
20250228,desktop,Windows,Chrome,6,1
20250222,desktop,Windows,Chrome,5,3
20250308,desktop,Windows,Chrome,5,4
20250312,desktop,Windows,Chrome,5,2
20250216,mobile,Android,Chrome,3,3
20250220,desktop,Windows,Chrome,3,3
20250221,desktop,Windows,Chrome,3,1
20250227,desktop,Windows,Chrome,3,3
20250303,mobile,Android,Chrome,3,1
20250216,desktop,Windows,Chrome,2,1
20250217,desktop,Linux,Chrome,2,2
20250218,desktop,Windows,Chrome,2,2
20250301,desktop,Windows,Chrome,2,2
20250305,desktop,Macintosh,Chrome,2,2
20250306,desktop,Windows,Chrome,2,1
20250310,desktop,Windows,Chrome,2,2
20250310,mobile,Android,Chrome,2,2
20250311,mobile,iOS,Safari,2,1
20250215,desktop,Windows,Chrome,1,1
20250219,desktop,Windows,Chrome,1,1
20250220,desktop,Macintosh,Chrome,1,1
20250221,desktop,Linux,Chrome,1,1
20250221,desktop,Macintosh,Chrome,1,1
20250222,desktop,Macintosh,Chrome,1,1
20250224,desktop,Windows,Chrome,1,1
20250225,desktop,Linux,Chrome,1,1
20250225,desktop,Windows,Chrome,1,1
20250226,mobile,Android,Chrome,1,1
20250301,desktop,Linux,Chrome,1,1
20250303,desktop,Linux,Chrome,1,1
20250303,desktop,Macintosh,Chrome,1,1
20250303,desktop,Windows,Chrome,1,1
20250304,desktop,Linux,Chrome,1,1
20250304,desktop,Macintosh,Chrome,1,1
20250305,desktop,Windows,Chrome,1,1
20250305,mobile,iOS,Safari,1,1
20250308,desktop,Linux,Chrome,1,1
20250310,desktop,Linux,Chrome,1,0
20250310,mobile,iOS,Safari,1,1
20250311,desktop,Linux,Chrome,1,1
20250311,desktop,Windows,Chrome,1,1
20250313,desktop,Windows,Chrome,1,1
20250315,desktop,Linux,Chrome,1,1
20250315,desktop,Macintosh,Mozilla Compatible Agent,1,1
20250315,desktop,Windows,Chrome,1,1
20250317,desktop,Linux,Chrome,1,1
20250318,desktop,Linux,Chrome,1,1
20250318,desktop,Windows,Opera,1,1
20250319,desktop,Windows,Chrome,1,1
