date,eventName,eventCount
20250310,page_view,161
20250310,user_engagement,140
20250227,click,23
20250306,page_view,19
20250308,page_view,19
20250311,page_view,18
20250220,page_view,17
20250224,page_view,17
20250308,user_engagement,17
20250220,user_engagement,15
20250303,page_view,15
20250306,user_engagement,15
20250311,user_engagement,14
20250227,page_view,12
20250312,page_view,12
20250218,page_view,11
20250221,page_view,11
20250222,page_view,11
20250224,user_engagement,11
20250315,page_view,11
20250218,user_engagement,10
20250221,user_engagement,10
20250303,user_engagement,10
20250315,user_engagement,10
20250319,page_view,10
20250312,user_engagement,9
20250222,user_engagement,8
20250225,page_view,8
20250228,click,8
20250319,user_engagement,8
20250221,scroll,7
20250224,scroll,7
20250222,session_start,6
20250227,user_engagement,6
20250228,page_view,6
20250228,session_start,6
20250228,user_engagement,6
20250303,session_start,6
20250308,session_start,6
20250310,session_start,6
20250216,session_start,5
20250225,user_engagement,5
20250308,scroll,5
20250312,session_start,5
20250216,first_visit,4
20250216,page_view,4
20250221,session_start,4
20250225,click,4
20250303,scroll,4
20250305,page_view,4
20250305,session_start,4
20250310,scroll,4
20250311,session_start,4
20250215,page_view,3
20250220,session_start,3
20250222,first_visit,3
20250226,page_view,3
20250227,scroll,3
20250227,session_start,3
20250301,first_visit,3
20250301,page_view,3
20250301,session_start,3
20250308,first_visit,3
20250315,session_start,3
20250215,user_engagement,2
20250216,click,2
20250217,first_visit,2
20250217,page_view,2
20250217,session_start,2
20250217,user_engagement,2
20250218,first_visit,2
20250218,scroll,2
20250218,session_start,2
20250221,first_visit,2
20250222,scroll,2
20250225,scroll,2
20250225,session_start,2
20250226,scroll,2
20250303,first_visit,2
20250304,first_visit,2
20250304,page_view,2
20250304,session_start,2
20250305,first_visit,2
20250305,user_engagement,2
20250306,session_start,2
20250310,first_visit,2
20250311,first_visit,2
20250313,page_view,2
20250315,first_visit,2
20250317,page_view,2
20250317,user_engagement,2
20250318,first_visit,2
20250318,page_view,2
20250318,session_start,2
20250215,click,1
20250215,first_visit,1
20250215,session_start,1
20250219,first_visit,1
20250219,page_view,1
20250219,session_start,1
20250219,user_engagement,1
20250224,session_start,1
20250225,first_visit,1
20250226,first_visit,1
20250226,session_start,1
20250226,user_engagement,1
20250228,scroll,1
20250301,user_engagement,1
20250303,click,1
20250304,user_engagement,1
20250311,scroll,1
20250313,session_start,1
20250313,user_engagement,1
20250317,scroll,1
20250317,session_start,1
20250319,first_visit,1
20250319,session_start,1
