date,sessions,totalUsers,activeUsers,screenPageViews,bounceRate
20250222,6,4,4,11,0.5
20250228,6,3,1,6,0.66666666666666663
20250303,6,4,4,15,0.66666666666666663
20250308,6,5,5,19,0.5
20250310,6,6,5,161,0.5
20250216,5,4,4,4,0.8
20250221,5,5,3,11,0.6
20250312,5,2,2,12,0.6
20250220,4,4,4,17,0.25
20250305,4,4,4,4,0.75
20250311,4,4,3,18,0.5
20250227,3,3,3,12,0
20250301,3,3,3,3,0.66666666666666663
20250315,3,3,3,11,0.33333333333333331
20250217,2,2,2,2,0
20250218,2,2,2,11,0
20250225,2,2,2,8,0.5
20250304,2,2,2,2,0.5
20250306,2,1,1,19,0
20250318,2,2,2,2,1
20250215,1,1,1,3,0
20250219,1,1,1,1,0
20250224,1,1,1,17,0
20250226,1,1,1,3,0
20250313,1,1,1,2,0
20250317,1,1,1,2,0
20250319,1,1,1,10,0
